Game Title,Console,Genre,Publisher,Developer,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq
Guitar Hero III: Legends of Rock,Wii,Misc,RedOctane,Vicarious Visions,8.6,4.6000000000000005,3.04,0.0,1.12,0.44,2007,8,91
FIFA 15,PS3,Sports,EA Sports,EA Canada,6.9,4.56,0.59,0.04,3.25,0.68,2014,540,292
Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,Sega,6.8,4.540000000000001,1.87,0.22,1.97,0.48,2009,640,154
Overwatch,PS4,Shooter,Blizzard Entertainment,Blizzard Entertainment,8.8,4.540000000000001,1.84,0.17,1.8,0.73,2016,12,10
Guitar Hero III: Legends of Rock,X360,Misc,RedOctane,Neversoft,8.7,4.53,3.19,0.01,0.91,0.42,2007,8,5
Star Wars Battlefront II (2017),PS4,Shooter,Electronic Arts,EA DICE,7.101890450799806,4.539999999999999,1.7,0.12,1.99,0.73,2017,843,25
Madden NFL 2005,PS2,Sports,EA Sports,EA Tiburon,9.5,4.53,4.18,0.01,0.26,0.08,2004,540,193
Spider-Man: The Movie,PS2,Action,Activision,Treyarch,8.2,4.48,2.71,0.03,1.51,0.23,2002,1044,56
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,Bethesda Softworks,9.2,4.47,2.89,0.13,1.03,0.41,2009,53,31
Tony Hawk's Pro Skater 3,PS2,Sports,Activision,Neversoft Entertainment,9.1,4.42,2.66,0.01,1.29,0.46,2001,1044,52
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,8.8,4.4,0.1,1.05,2.39,0.86,2007,769,43
Tom Clancy's The Division,PS4,Shooter,Ubisoft,Massive Entertainment,7.101890450799806,4.38,1.49,0.16,2.04,0.69,2016,1012,4
Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,EA Canada,8.6,4.37,2.03,0.08,1.79,0.47,2005,843,292
Michael Jackson: The Experience,Wii,Misc,Ubisoft,Ubisoft Montpellier,5.6,4.37,2.64,0.01,1.33,0.39,2010,1012,30
Tom Clancy's Rainbow Six: Siege,PS4,Shooter,Ubisoft,Ubisoft Montreal,7.101890450799806,4.36,1.29,0.36,2.06,0.64,2015,1012,172
Call of Duty: Advanced Warfare,X360,Shooter,Activision,High Moon Studios,9.1,4.35,2.81,0.0,1.13,0.41,2014,1044,19
Watch Dogs,PS4,Action-Adventure,Ubisoft,Ubisoft Montreal,7.101890450799806,4.32,1.4,0.11,2.13,0.68,2014,1012,172
Asteroids,2600,Shooter,Atari,Atari,7.101890450799806,4.31,4.0,0.0,0.26,0.05,1981,335,72
Batman: Arkham Asylum,PS3,Action,Eidos Interactive,Rocksteady Studios,9.0,4.29,2.26,0.07,1.33,0.63,2009,209,12
Call of Duty: Advanced Warfare,PS3,Shooter,Activision,High Moon Studios,9.1,4.2700000000000005,1.59,0.2,1.81,0.67,2014,1044,19
Namco Museum,GBA,Misc,Namco,Mass Media,7.101890450799806,4.24,3.0,0.05,1.11,0.07,2001,175,23
Assassin's Creed: Revelations,PS3,Action,Ubisoft,Ubisoft Montreal,8.8,4.23,1.41,0.1,2.03,0.69,2011,1012,172
Assassin's Creed: Revelations,X360,Action,Ubisoft,Ubisoft Montreal,7.9,4.23,2.28,0.04,1.47,0.44,2011,1012,172
FIFA Soccer 06,PS2,Sports,EA Sports,EA Canada,8.4,4.21,0.78,0.04,2.55,0.84,2005,540,292
Street Fighter IV,PS3,Fighting,Capcom,Capcom / Dimps Corporation,9.3,4.199999999999999,2.04,0.59,1.05,0.52,2009,437,4
FIFA Soccer 12,X360,Sports,EA Sports,EA Canada,9.2,4.18,0.85,0.02,2.79,0.52,2011,540,292
Call of Duty: Ghosts,PS4,Shooter,Activision,Infinity Ward,7.5,4.17,1.79,0.05,1.64,0.69,2013,1044,28
Teenage Mutant Ninja Turtles,NES,Platform,Ultra Games,Konami,5.9,4.17,3.38,0.31,0.44,0.04,1989,2,409
Frogger,PS,Action,Hasbro Interactive,Millenium Interactive,7.101890450799806,4.170000000000001,3.79,0.0,0.27,0.11,1997,20,1
FIFA 14,X360,Sports,EA Sports,EA Canada,7.101890450799806,4.16,0.94,0.01,2.92,0.29,2013,540,292
Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts,EA DICE,6.9,4.15,2.49,0.02,1.26,0.38,2015,843,25
Madden NFL 2003,PS2,Sports,EA Sports,EA Tiburon,9.4,4.14,3.36,0.01,0.21,0.56,2002,540,193
Assassin's Creed: Unity,PS4,Action,Ubisoft,Ubisoft Montreal,7.101890450799806,4.15,1.25,0.09,2.16,0.65,2014,1012,172
Destiny 2,PS4,Shooter,Activision,Bungie,7.101890450799806,4.15,1.92,0.1,1.44,0.69,2017,1044,16
FIFA 07 Soccer,PS2,Sports,EA Sports,Team Fusion,8.4,4.11,0.71,0.03,2.48,0.89,2006,540,9
Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,Rocksteady Studios,8.1,4.11,1.65,0.11,1.68,0.66,2015,126,12
The Sims 4,PC,Simulation,Electronic Arts,Maxis,7.0,4.1,1.2,0.0,2.6,0.3,2014,843,71
Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,Obsidian Entertainment,8.2,4.08,2.67,0.04,1.03,0.34,2010,113,23
Carnival Games,Wii,Misc,Global Star Software,Cat Daddy Games,4.2,4.06,2.12,0.05,1.47,0.42,2007,47,14
Far Cry 4,PS4,Shooter,Ubisoft,Ubisoft Montreal,8.4,4.0600000000000005,1.18,0.11,2.14,0.63,2014,1012,172
Assassin's Creed Origins,PS4,Action,Ubisoft,Ubisoft Montreal,7.101890450799806,4.07,1.22,0.11,2.11,0.63,2017,1012,172
