Game Title,Console,Genre,Publisher,Developer,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq
Monster Energy Supercross - The Official Videogame,XOne,Racing,Milestone S.r.l.,Milestone S.r.l.,0.6779878278666451,0.003937007874015749,0.00819672131147541,0.0,0.0,0.003205128205128205,2018,0.017257909875359537,0.0821917808219178
Wetrix,N64,Puzzle,Ocean,Zed Two Limited,0.8444444444444443,0.0034448818897637803,0.006147540983606557,0.0,0.0020304568527918783,0.0,1998,0.004793863854266539,0.01141552511415525
S.C.A.R.S,PS,Racing,Ubisoft,Vivid Image,0.6779878278666451,0.003937007874015749,0.005122950819672132,0.0,0.003045685279187817,0.003205128205128205,1998,0.9693192713326941,0.0045662100456621
Face Racers: Photo Finish,3DS,Racing,Majesco,Renegade Kid,0.6779878278666451,0.003937007874015749,0.00819672131147541,0.0,0.0,0.003205128205128205,2011,0.21668264621284755,0.00684931506849315
Initial D: Extreme Stage,PS3,Racing,Sega,Sega,0.6779878278666451,0.0034448818897637803,0.0,0.03755868544600939,0.0,0.0,2008,0.6126558005752636,0.34931506849315064
The Italian Job,XB,Racing,Eidos Interactive,Climax Group,0.6779878278666451,0.0034448818897637803,0.006147540983606557,0.0,0.0020304568527918783,0.0,2003,0.19942473633748803,0.11187214611872145
Big Mutha Truckers,GC,Racing,THQ,Eutechnyx,0.6779878278666451,0.0034448818897637803,0.006147540983606557,0.0,0.0020304568527918783,0.0,2003,0.6951102588686481,0.0867579908675799
Micro Machines: World Series,XOne,Racing,Codemasters,Codemasters,0.6779878278666451,0.0034448818897637803,0.0020491803278688526,0.0,0.005076142131979696,0.003205128205128205,2017,0.1601150527325024,0.1689497716894977
Iggy's Reckin' Balls,N64,Racing,Acclaim Entertainment,Iguana Entertainment,0.6444444444444444,0.0034448818897637803,0.006147540983606557,0.0,0.0020304568527918783,0.0,1998,0.1860019175455417,0.045662100456621
Rapala Fishing Pro Series,PS4,Simulation,GameMill,"Concrete Software, Inc.",0.6779878278666451,0.0034448818897637803,0.006147540983606557,0.0,0.0,0.00641025641025641,2017,0.023969319271332692,0.0045662100456621
Miami Nights: Singles in the City,DS,Simulation,Ubisoft,Gameloft,0.6779878278666451,0.003937007874015749,0.00819672131147541,0.0,0.0,0.003205128205128205,2008,0.9693192713326941,0.0319634703196347
Pretty Rhythm: My Deco Rainbow Wedding,3DS,Simulation,Takara Tomy,Takara Tomy ARTS,0.6779878278666451,0.0034448818897637803,0.0,0.03755868544600939,0.0,0.0,2013,0.040268456375838924,0.0045662100456621
