Game Title,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq,Console Freq,Genre Freq,Decade,NA Share,EU Share,JP Share,Other Share,Is Recent,Game Quality,Game Quality Encoded
Mercenaries 2: World in Flames,0.5555555555555556,0.042322834645669286,0.02971311475409836,0.009389671361502348,0.04060913705583757,0.05128205128205128,2008,0.8072866730584851,0.0730593607305936,0.56265664160401,0.5229034531360113,2000,0.3333333333333333,0.4597701149425288,0.022988505747126436,0.1839080459770115,0,Medium,1
Red Faction: Guerrilla,0.8222222222222222,0.042322834645669286,0.04918032786885246,0.004694835680751174,0.02944162436548223,0.02884615384615384,2009,0.6951102588686481,0.06621004566210045,0.5434419381787802,0.5229034531360113,2000,0.5517241379310345,0.3333333333333333,0.011494252873563218,0.10344827586206896,0,High,2
DiRT,0.8222222222222222,0.042322834645669286,0.0389344262295082,0.0,0.04060913705583757,0.02884615384615384,2007,0.1601150527325024,0.1689497716894977,0.5434419381787802,0.5038759689922481,2000,0.4367816091954023,0.4597701149425288,0.0,0.10344827586206896,0,High,2
Endless Ocean: Blue World,0.7333333333333332,0.042322834645669286,0.04713114754098361,0.056338028169014086,0.02233502538071066,0.01923076923076923,2010,0.36625119846596355,0.02511415525114155,0.5664160401002506,0.39464411557434814,2010,0.5287356321839081,0.25287356321839083,0.13793103448275862,0.06896551724137931,0,High,2
Peppa Pig: The Game,0.6779878278666451,0.04232283464566929,0.0,0.0,0.08223350253807107,0.01923076923076923,2008,0.0019175455417066156,0.0228310502283105,0.9999999999999999,0.7054263565891473,2000,0.0,0.9310344827586207,0.0,0.0689655172413793,0,High,2
Michael Jackson: The Experience,0.5111111111111111,0.04232283464566929,0.06352459016393443,0.0,0.0182741116751269,0.022435897435897436,2011,0.9693192713326941,0.3904109589041096,0.5434419381787802,0.7054263565891473,2010,0.7126436781609194,0.2068965517241379,0.0,0.08045977011494253,0,Medium,1
Minecraft: Story Mode,0.6779878278666451,0.042322834645669286,0.031762295081967214,0.0,0.04263959390862944,0.04487179487179487,2015,0.005752636625119847,0.1324200913242009,0.37886382623224724,0.6666666666666666,2010,0.3563218390804598,0.48275862068965514,0.0,0.16091954022988508,1,High,2
Triple Play 2002,0.6779878278666451,0.042322834645669286,0.04405737704918033,0.0,0.03350253807106599,0.035256410256410256,2002,0.5167785234899328,0.0730593607305936,0.8872180451127819,0.9143763213530656,2000,0.4942528735632184,0.37931034482758624,0.0,0.12643678160919541,0,High,2
Conflict: Desert Storm,0.6779878278666451,0.042322834645669286,0.04918032786885246,0.0,0.03756345177664974,0.00641025641025641,2002,0.019175455417066153,0.045662100456621,0.3487886382623224,0.5229034531360113,2000,0.5517241379310345,0.42528735632183906,0.0,0.022988505747126436,0,High,2
Brothers In Arms: Hell's Highway,0.7333333333333332,0.042322834645669286,0.04815573770491803,0.0,0.03045685279187817,0.02884615384615384,2008,0.9693192713326941,0.0867579908675799,0.5434419381787802,0.5229034531360113,2000,0.5402298850574713,0.3448275862068965,0.0,0.10344827586206896,0,High,2
NHL 2000,0.6779878278666451,0.04232283464566929,0.04918032786885246,0.0,0.03350253807106599,0.01923076923076923,1999,0.5167785234899328,0.6643835616438356,0.4715956558061821,0.9143763213530656,1990,0.5517241379310344,0.3793103448275862,0.0,0.0689655172413793,0,High,2
Spec Ops: Ranger Elite,0.6779878278666451,0.04281496062992126,0.050204918032786885,0.0,0.03350253807106599,0.01923076923076923,2001,0.049856184084372,0.03881278538812785,0.4715956558061821,0.5229034531360113,2000,0.5568181818181818,0.37499999999999994,0.0,0.06818181818181818,0,High,2
Need for Speed: V-Rally,0.6779878278666451,0.04232283464566929,0.04405737704918033,0.04225352112676056,0.02944162436548223,0.01923076923076923,1997,0.8072866730584851,0.01598173515981735,0.4715956558061821,0.5038759689922481,1990,0.49425287356321834,0.33333333333333326,0.10344827586206895,0.0689655172413793,0,High,2
GRID,0.8555555555555554,0.042322834645669286,0.03381147540983607,0.004694835680751174,0.04467005076142132,0.02884615384615384,2008,0.1601150527325024,0.1689497716894977,0.5434419381787802,0.5038759689922481,2000,0.37931034482758624,0.5057471264367817,0.011494252873563218,0.10344827586206896,0,High,2
Tom Clancy's Ghost Recon: Island Thunder,0.6779878278666451,0.04281496062992126,0.0625,0.0,0.024365482233502538,0.009615384615384614,2003,0.9693192713326941,0.0365296803652968,0.3487886382623224,0.5229034531360113,2000,0.6931818181818181,0.2727272727272727,0.0,0.03409090909090909,0,High,2
Metal Gear Ac!d,0.711111111111111,0.042322834645669286,0.03278688524590164,0.056338028169014086,0.026395939086294416,0.05448717948717949,2005,0.7363374880153403,0.9315068493150684,0.5593149540517961,0.2885835095137421,2000,0.367816091954023,0.2988505747126437,0.13793103448275862,0.19540229885057472,0,High,2
Derby Stallion II,0.6779878278666451,0.042322834645669286,0.0,0.4084507042253521,0.0,0.0,1994,0.02109300095877277,0.0091324200913242,0.08187134502923976,0.9143763213530656,1990,0.0,0.0,1.0,0.0,0,High,2
Tony Hawk's Project 8,0.6222222222222222,0.042322834645669286,0.07377049180327869,0.0,0.003045685279187817,0.03846153846153846,2006,1.0,0.0228310502283105,0.8872180451127819,0.9143763213530656,2000,0.8275862068965517,0.034482758620689655,0.0,0.13793103448275862,0,Medium,1
Sleeping Dogs,0.7666666666666666,0.042322834645669286,0.0389344262295082,0.004694835680751174,0.04060913705583757,0.02564102564102564,2012,0.19942473633748803,0.01141552511415525,0.5434419381787802,0.09267089499647639,2010,0.4367816091954023,0.4597701149425288,0.011494252873563218,0.09195402298850575,0,High,2
Paper Mario: Color Splash,0.711111111111111,0.042322834645669286,0.035860655737704916,0.03755868544600939,0.03756345177664974,0.01923076923076923,2016,0.36625119846596355,0.0593607305936073,0.06140350877192982,0.09267089499647639,2010,0.4022988505747126,0.42528735632183906,0.09195402298850575,0.06896551724137931,1,High,2
Crimson Skies: High Road to Revenge,0.6779878278666451,0.04232283464566929,0.06659836065573771,0.0,0.019289340101522844,0.009615384615384614,2003,0.087248322147651,0.00684931506849315,0.3487886382623224,0.39464411557434814,2000,0.7471264367816092,0.21839080459770113,0.0,0.03448275862068965,0,High,2
Cooking Mama: World Kitchen,0.6779878278666451,0.042322834645669286,0.05225409836065574,0.004694835680751174,0.027411167512690356,0.02564102564102564,2008,0.21668264621284755,0.00684931506849315,0.5664160401002506,0.39464411557434814,2000,0.5862068965517242,0.3103448275862069,0.011494252873563218,0.09195402298850575,0,High,2
Super Bomberman R,0.5888888888888888,0.04281496062992126,0.031762295081967214,0.0892018779342723,0.03248730964467005,0.01923076923076923,2017,0.10162991371045062,0.01141552511415525,0.10944026733500417,0.2544045102184637,2010,0.35227272727272724,0.3636363636363636,0.21590909090909088,0.06818181818181818,1,Medium,1
Wii Fit U,0.6888888888888889,0.04183070866141732,0.035860655737704916,0.09859154929577464,0.024365482233502538,0.01923076923076923,2014,0.36625119846596355,0.13013698630136986,0.06140350877192982,0.7054263565891473,2010,0.4069767441860465,0.27906976744186046,0.2441860465116279,0.06976744186046512,0,High,2
Guitar Hero: Warriors of Rock,0.6777777777777776,0.04183070866141732,0.04815573770491803,0.0,0.03147208121827411,0.022435897435897436,2010,1.0,0.11643835616438356,0.5434419381787802,0.7054263565891473,2010,0.5465116279069767,0.3604651162790698,0.0,0.08139534883720931,0,High,2
Lemmings,0.7,0.042322834645669286,0.012295081967213115,0.0,0.05279187817258883,0.07371794871794872,2006,0.5436241610738255,0.05707762557077625,0.5593149540517961,0.2544045102184637,2000,0.13793103448275862,0.5977011494252874,0.0,0.26436781609195403,0,High,2
Madden Football 64,0.6779878278666451,0.041830708661417325,0.08299180327868853,0.0,0.0040609137055837565,0.003205128205128205,1997,0.5167785234899328,0.4383561643835616,0.11570593149540517,0.9143763213530656,1990,0.9418604651162791,0.04651162790697674,0.0,0.011627906976744184,0,High,2
Gold's Gym: Dance Workout,0.6779878278666451,0.04183070866141732,0.0706967213114754,0.0,0.010152284263959392,0.022435897435897436,2010,0.9693192713326941,0.00684931506849315,0.5664160401002506,0.9143763213530656,2010,0.8023255813953488,0.11627906976744187,0.0,0.08139534883720931,0,High,2
Ford Racing,0.6779878278666451,0.04232283464566929,0.04918032786885246,0.0,0.03350253807106599,0.01923076923076923,2001,0.031639501438159155,0.0091324200913242,0.4715956558061821,0.5038759689922481,2000,0.5517241379310344,0.3793103448275862,0.0,0.0689655172413793,0,High,2
Dishonored 2,0.6779878278666451,0.04183070866141732,0.04815573770491803,0.0,0.03147208121827411,0.02564102564102564,2016,0.10738255033557047,0.0273972602739726,0.2184628237259816,1.0,2010,0.5465116279069767,0.3604651162790698,0.0,0.09302325581395349,1,High,2
Winning Eleven: Pro Evolution Soccer 2007,0.7999999999999998,0.04183070866141732,0.0010245901639344263,0.056338028169014086,0.0730964467005076,0.003205128205128205,2007,0.7363374880153403,0.0958904109589041,0.5593149540517961,0.9143763213530656,2000,0.011627906976744186,0.8372093023255813,0.13953488372093023,0.011627906976744186,0,High,2
Beijing 2008,0.6779878278666451,0.041830708661417325,0.01434426229508197,0.004694835680751174,0.05482233502538071,0.05448717948717949,2008,0.6126558005752636,0.1415525114155251,0.56265664160401,0.9143763213530656,2000,0.1627906976744186,0.627906976744186,0.011627906976744184,0.19767441860465115,0,High,2
MLB 99,0.6779878278666451,0.041830708661417325,0.04918032786885246,0.0,0.03248730964467005,0.01923076923076923,1998,0.5436241610738255,0.0091324200913242,0.4715956558061821,0.9143763213530656,1990,0.5581395348837208,0.3720930232558139,0.0,0.0697674418604651,0,High,2
Pictionary,0.6779878278666451,0.041830708661417325,0.06147540983606557,0.0,0.019289340101522844,0.022435897435897436,2010,0.6951102588686481,0.0045662100456621,0.5664160401002506,0.7054263565891473,2010,0.6976744186046511,0.2209302325581395,0.0,0.0813953488372093,0,High,2
Dynasty Warriors 4: Xtreme Legends,0.6779878278666451,0.04183070866141732,0.017418032786885248,0.23943661971830987,0.013197969543147208,0.01282051282051282,2003,0.15052732502396932,0.3287671232876712,0.8872180451127819,1.0,2000,0.19767441860465118,0.15116279069767444,0.5930232558139535,0.046511627906976744,0,High,2
